,catid,eventid,eventname,catname
0,6,1217,Mamma Mia!,Musicals
1,6,1433,Grease,Musicals
2,7,2811,Spring Awakening,Plays
3,9,3915,Return To Forever,Pop
4,9,4135,Nas,Pop
5,9,5807,Return To Forever,Pop
6,9,6649,Hannah Montana,Pop
7,9,6711,Smashing Pumpkins,Pop
8,9,7747,K.D. Lang,Pop
9,6,521,West Side Story,Musicals
10,6,1337,Spamalot,Musicals
11,6,1738,Beatles LOVE,Musicals
12,7,2131,Macbeth,Plays
13,7,2494,The Caretaker,Plays
14,7,2809,The Cherry Orchard,Plays
15,7,2824,Cirque du Soleil,Plays
16,7,2920,Macbeth,Plays
17,9,4853,Rick Braun,Pop
18,9,5475,Demi Lovato,Pop
19,9,5737,David Sanborn,Pop
20,9,6262,Gogol Bordello,Pop
21,8,394,Adriana Lecouvreur,Opera
22,7,2043,The Bacchae,Plays
23,7,2266,Passing Strange,Plays
24,7,2729,Hedda Gabler,Plays
25,7,3496,August: Osage County,Plays
26,7,3633,The Country Girl,Plays
27,9,4671,The Rowdy Frynds Tour,Pop
28,9,4680,The Roots,Pop
29,9,4711,Carrie Underwood,Pop
30,9,5508,Ryan Adams,Pop
31,9,5546,Third Day,Pop
32,9,6071,3 Doors Down,Pop
33,9,6120,Bob Dylan,Pop
34,9,6274,Beck,Pop
35,9,6287,Buckcherry,Pop
36,9,7468,Commodores,Pop
37,6,982,Gypsy,Musicals
38,6,1567,Blue Man Group,Musicals
39,6,1764,Mamma Mia!,Musicals
40,7,1981,King Lear,Plays
41,7,2274,The Caretaker,Plays
42,7,2606,The Caretaker,Plays
43,7,3263,Rosencrantz and Guildenstern Are Dead,Plays
44,7,3430,Spring Awakening,Plays
45,7,3749,Waiting for Godot,Plays
46,9,4563,Killers,Pop
47,9,4808,Serj Tankian,Pop
48,9,5515,Foreigner,Pop
49,9,5540,Styx,Pop
50,9,6912,Shakira,Pop
51,9,7189,Michael Buble,Pop
52,9,7568,Sound Tribe Sector 9,Pop
53,9,7751,Jesse McCartney,Pop
54,9,7778,Zucchero,Pop
55,9,8006,Bette Midler,Pop
56,9,8745,Jonas Brothers,Pop
57,8,54,La Cenerentola (Cinderella),Opera
58,6,1193,Fiddler on the Roof,Musicals
59,6,1428,Jersey Boys,Musicals
60,7,3063,Waiting for Godot,Plays
61,7,3140,Romeo and Juliet,Plays
62,7,3234,The Caucasian Chalk Circle,Plays
63,7,3478,The Caretaker,Plays
64,9,3878,Jim Brickman,Pop
65,9,4731,Flogging Molly,Pop
66,9,6441,Journey,Pop
67,9,6901,Stone Temple Pilots,Pop
68,9,8111,O.A.R.,Pop
69,6,1350,Memphis - The Birth of Rock n Roll,Musicals
70,9,4306,Backstreet Boys,Pop
71,9,4488,George Thorogood and the Destroyers,Pop
72,9,4767,Ani DiFranco,Pop
73,9,5864,Kenny Wayne Shepherd,Pop
74,9,6966,Gavin DeGraw,Pop
75,9,7710,Built To Spill,Pop
76,9,7776,Billy Joel,Pop
77,9,8098,The Swell Season,Pop
78,9,8719,Hermans Hermits,Pop
79,8,81,The Birds (Die Vogel),Opera
80,6,1038,The Little Mermaid,Musicals
81,6,1238,Gypsy,Musicals
82,7,1904,Thurgood,Plays
83,7,2304,The Cherry Orchard,Plays
84,7,2469,Passing Strange,Plays
85,7,3786,Wicked,Plays
86,9,4325,Allman Brothers Band,Pop
87,9,5323,English Beat,Pop
88,9,5468,Judas Priest,Pop
89,9,5720,Air Supply,Pop
90,9,6091,Carrie Underwood,Pop
91,9,6179,Kanye West,Pop
92,8,202,Adriana Lecouvreur,Opera
93,6,1720,Mamma Mia!,Musicals
94,7,2600,As You Like It,Plays
95,9,4335,Dave Koz,Pop
96,9,4968,KT Tunstall,Pop
97,9,6973,Bloc Party,Pop
98,9,7416,Taylor Swift,Pop
99,9,7419,Chaka Khan,Pop
100,9,7463,Duffy,Pop
101,9,7605,Steven Curtis Chapman,Pop
102,8,251,Ring Cycle,Opera
103,6,1250,The Phantom of the Opera,Musicals
104,6,1539,Mamma Mia!,Musicals
105,6,1548,Spamalot,Musicals
106,6,1796,Phantom of the Opera,Musicals
107,7,2111,Rosencrantz and Guildenstern Are Dead,Plays
108,7,3476,The 39 Steps,Plays
109,9,4316,Dixie Chicks,Pop
110,9,4464,Greg Kihn Band,Pop
111,9,4552,Rock The Bayou,Pop
112,9,4813,Mark Knopfler,Pop
113,9,5758,Nine Inch Nails,Pop
114,9,5936,Neville Brothers,Pop
115,9,6175,Justin Timberlake,Pop
116,9,6348,Tina Turner,Pop
117,9,7492,James Blunt,Pop
118,9,7944,DJ Shadow and Cut Chemist,Pop
119,9,8302,Insane Clown Posse,Pop
120,9,8359,Rick Braun,Pop
121,9,8431,B.B. King,Pop
122,6,600,Grease,Musicals
123,7,2438,Rhinoceros,Plays
124,7,2602,The 39 Steps,Plays
125,9,3973,Michael Buble,Pop
126,9,4258,Ben Harper,Pop
127,9,4679,Dropkick Murphys,Pop
128,9,5042,Michael Buble,Pop
129,9,5299,Tesla,Pop
130,9,5365,Govt Mule,Pop
131,9,6385,Kenny Wayne Shepherd,Pop
132,9,6481,Bamboozle Left,Pop
133,9,7086,Joe Satriani,Pop
134,8,56,L Elisir d Amore,Opera
135,8,318,Simon Boccanegra,Opera
136,6,999,Mamma Mia!,Musicals
137,6,1069,Legally Blonde,Musicals
138,7,2265,Rosencrantz and Guildenstern Are Dead,Plays
139,7,2357,Othello,Plays
140,7,2904,Young Frankenstein,Plays
141,9,4192,Gipsy Kings,Pop
142,9,4565,Chromeo,Pop
143,9,4757,Joe Cocker,Pop
144,9,5347,Extreme,Pop
145,9,5413,UB40,Pop
146,9,7152,Celtic Thunder,Pop
147,9,7358,Burt Bacharach,Pop
148,9,8239,LeAnn Rimes,Pop
149,6,609,State Fair,Musicals
150,6,1770,Legally Blonde,Musicals
151,9,4003,Regina Spektor,Pop
152,9,4139,Charlie Daniels Band,Pop
153,9,5279,Teddy Geiger,Pop
154,9,5394,Bad Company,Pop
155,9,5619,Bow Wow,Pop
156,9,7677,My Morning Jacket,Pop
157,9,7994,Rock To Win At the DNC,Pop
158,9,8723,Melissa Etheridge,Pop
159,6,525,South Pacific,Musicals
160,6,648,State Fair,Musicals
161,7,1901,Spring Awakening,Plays
162,7,3547,The Farnsworth Invention,Plays
163,7,3559,All My Sons,Plays
164,9,4244,Chicago,Pop
165,9,4535,John Prine,Pop
166,9,5173,Michael McDonald,Pop
167,9,5328,John Mellencamp,Pop
168,9,6253,Seether,Pop
169,9,6490,Nine Inch Nails,Pop
170,9,6714,Ryan Adams,Pop
171,9,6997,Bo Bice,Pop
172,9,8232,Feist,Pop
173,9,8368,G. Love and Special Sauce,Pop
174,9,8486,Christina Aguilera,Pop
175,9,8609,Alicia Keys,Pop
176,8,385,The Fly,Opera
177,7,1836,Woyzeck,Plays
178,7,2213,Iphigenia,Plays
179,7,2376,Wicked,Plays
180,7,2634,Uncle Vanya,Plays
181,7,2890,Rhinoceros,Plays
182,7,3373,Othello,Plays
183,7,3752,To Be or Not To Be,Plays
184,9,6639,Tokio Hotel,Pop
185,9,6721,Neil Diamond,Pop
186,9,7428,Godsmack,Pop
187,9,8046,Lollapalooza,Pop
188,9,8188,Projekt Revolution,Pop
189,9,8446,Armando Manzanero,Pop
190,6,1413,Grease,Musicals
191,9,5646,Jessica Simpson,Pop
192,9,5860,Smash Mouth,Pop
193,9,6114,Randy Travis,Pop
194,9,6756,Suzanne Vega,Pop
195,9,7424,Eva Ayllon,Pop
196,9,7499,Cold War Kids,Pop
197,9,7721,War,Pop
198,7,2541,Passing Strange,Plays
199,7,3290,A Man For All Seasons,Plays
200,7,3383,Young Frankenstein,Plays
201,9,3832,Los Temerarios,Pop
202,9,3900,Wyclef Jean,Pop
203,9,4518,Indigo Girls,Pop
204,9,4875,Lenny Kravitz,Pop
205,9,5990,Black Kids,Pop
206,9,6107,70s Soul Jam,Pop
207,9,6786,Beck,Pop
208,9,8337,Dave Stewart,Pop
209,8,59,Tristan und Isolde,Opera
210,7,2901,A Man For All Seasons,Plays
211,9,4448,Rick Braun,Pop
212,9,5606,Manhattan Transfer,Pop
213,9,5869,Manhattan Transfer,Pop
214,9,7039,Chaka Khan,Pop
215,9,7810,Foghat,Pop
216,9,7993,Radiohead,Pop
217,9,8261,Bruce Springsteen,Pop
218,6,1632,Zumanity,Musicals
219,7,2723,Macbeth,Plays
220,7,3293,As You Like It,Plays
221,9,3937,Juan Luis Guerra,Pop
222,9,4329,Neil Diamond,Pop
223,9,5514,Snoop Dogg,Pop
224,9,5567,Rick Springfield,Pop
225,9,5600,Eagles,Pop
226,9,6118,Hot Tuna,Pop
227,9,7115,Joe Cocker,Pop
228,9,7206,Colbie Caillat,Pop
229,9,8769,Rod Stewart,Pop
230,6,1231,Fiddler on the Roof,Musicals
231,6,1768,Le Reve,Musicals
232,7,1913,The Farnsworth Invention,Plays
233,7,2180,A Streetcar Named Desire,Plays
234,9,3813,The Roots,Pop
235,9,4803,Clint Black,Pop
236,9,5081,War,Pop
237,9,5944,Wilco,Pop
238,9,7629,Rock the Bells,Pop
239,9,8605,Bullet for My Valentine,Pop
240,6,508,A Chorus Line,Musicals
241,6,913,Oliver!,Musicals
242,6,1020,Fiddler on the Roof,Musicals
243,7,2628,Uncle Vanya,Plays
244,7,3286,The Tempest,Plays
245,7,3712,Cirque du Soleil,Plays
246,9,4502,Govt Mule,Pop
247,9,5195,Eddie Vedder,Pop
248,9,5243,Daughtry,Pop
249,9,7052,Trace Adkins,Pop
250,9,7546,Luis Miguel,Pop
251,7,2090,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,Plays
252,7,2572,The Tempest,Plays
253,7,2797,August: Osage County,Plays
254,7,3013,King Lear,Plays
255,9,4298,Celtic Thunder,Pop
256,9,5308,Tom Jones,Pop
257,9,5457,Guitars and Saxes,Pop
258,9,5551,America,Pop
259,9,6360,Frankie Valli,Pop
260,9,6788,.38 Special,Pop
261,9,7955,Poison,Pop
262,8,168,Lucia di Lammermoor,Opera
263,6,799,Oliver!,Musicals
264,6,1458,A Catered Affair,Musicals
265,7,2832,All My Sons,Plays
266,7,2893,Othello,Plays
267,7,3308,Electra,Plays
268,7,3388,The Homecoming,Plays
269,7,3446,Macbeth,Plays
270,9,4077,Casting Crowns,Pop
271,9,5080,Erykah Badu,Pop
272,9,5507,Southside Johnny & the Asbury Jukes,Pop
273,9,6225,Chaka Khan,Pop
274,9,6781,Soulfest,Pop
275,9,8035,Brad Paisley,Pop
276,9,8502,Snoop Dogg,Pop
277,6,1014,Curtains,Musicals
278,6,1615,Phantom of the Opera,Musicals
279,9,4867,Clint Black,Pop
280,9,6024,Pat Benatar,Pop
281,9,6295,Alejandro Fernandez,Pop
282,9,8481,Creedence Clearwater Revisited,Pop
283,6,581,Spamalot,Musicals
284,6,1348,High School Musical,Musicals
285,7,2236,Uncle Vanya,Plays
286,7,2472,The Seagull,Plays
287,7,3687,A Man For All Seasons,Plays
288,9,3837,Randy Travis,Pop
289,9,3982,Lynyrd Skynyrd,Pop
290,9,4414,Smashing Pumpkins,Pop
291,9,5071,Bette Midler,Pop
292,9,5754,Nofx,Pop
293,9,6650,Madonna,Pop
294,9,7479,Alicia Keys,Pop
295,9,7884,Ray Davies,Pop
296,9,8141,ZZ Top,Pop
297,8,425,Don Giovanni,Opera
298,6,826,Hairspray,Musicals
299,6,1242,The Phantom of the Opera,Musicals
300,7,2342,The Glass Menagerie,Plays
301,7,2782,The Caretaker,Plays
302,9,4324,Gwen Stefani,Pop
303,9,4555,Weird Al Yankovic,Pop
304,9,5668,DJ Shadow and Cut Chemist,Pop
305,9,5735,Joe Satriani,Pop
306,9,7111,Joan Baez,Pop
307,9,7198,Goo Goo Dolls,Pop
308,9,8069,Steve Miller Band,Pop
309,6,1297,Hairspray,Musicals
310,6,1482,Oliver!,Musicals
311,6,1537,Zumanity,Musicals
312,6,1673,Legally Blonde,Musicals
313,7,2587,Macbeth,Plays
314,7,3227,The Homecoming,Plays
315,7,3730,Miss Julie,Plays
316,9,3906,Regina Spektor,Pop
317,9,4474,Smokey Robinson,Pop
318,9,5479,Scorpions,Pop
319,9,5786,Fab Faux,Pop
320,9,5889,Phil Vassar,Pop
321,9,6135,Casting Crowns,Pop
322,9,7443,Chicago,Pop
323,9,8382,Chicago,Pop
324,8,395,Simon Boccanegra,Opera
325,6,1105,Mamma Mia!,Musicals
326,7,1995,The Bacchae,Plays
327,7,2255,Glengarry Glen Ross,Plays
328,7,2570,The Tempest,Plays
329,7,3724,Endgame,Plays
330,7,3797,Young Frankenstein,Plays
331,9,4262,Alan Jackson,Pop
332,9,4728,Ray Davies,Pop
333,9,5084,Mariah Carey,Pop
334,9,5331,Toad The Wet Sprocket,Pop
335,9,5532,Cold War Kids,Pop
336,9,6293,Blues Brothers,Pop
337,9,7375,The Who,Pop
338,9,7603,Gipsy Kings,Pop
339,8,313,La Gioconda,Opera
340,6,980,Mamma Mia!,Musicals
341,7,1905,The Tempest,Plays
342,7,2067,November,Plays
343,7,2124,Rock 'n' Roll,Plays
344,7,2326,Othello,Plays
345,7,2919,As You Like It,Plays
346,7,2922,Rhinoceros,Plays
347,9,5312,Clint Black,Pop
348,9,5658,George Jones,Pop
349,9,6564,KT Tunstall,Pop
350,9,6826,Merle Haggard,Pop
351,9,7169,Dropkick Murphys,Pop
352,9,8085,Allman Brothers Band,Pop
353,6,759,The Lion King,Musicals
354,6,930,Hairspray,Musicals
355,7,1821,Thurgood,Plays
356,7,2826,Rhinoceros,Plays
357,9,5986,Jethro Tull,Pop
358,9,6031,Brad Paisley,Pop
359,9,6302,Kenny Rogers,Pop
360,9,7168,Fleet Foxes,Pop
361,9,7692,Matisyahu,Pop
362,9,8092,English Beat,Pop
363,8,89,Doctor Atomic,Opera
364,8,234,La Damnation de Faust,Opera
365,6,695,Fiddler on the Roof,Musicals
366,6,1085,A Chorus Line,Musicals
367,6,1384,Les Miserables,Musicals
368,7,2169,The Seagull,Plays
369,7,2388,A Tale of Two Cities,Plays
370,7,2403,Electra,Plays
371,7,3283,A Streetcar Named Desire,Plays
372,7,3479,Macbeth,Plays
373,9,4929,Pepe Aguilar,Pop
374,9,6032,Santana,Pop
375,9,7064,George Thorogood and the Destroyers,Pop
376,9,7786,El Tri,Pop
377,6,1118,The Little Mermaid,Musicals
378,6,1769,Phantom of the Opera,Musicals
379,7,2217,Cirque du Soleil,Plays
380,7,2328,The Bacchae,Plays
381,7,2474,Thurgood,Plays
382,7,3236,Waiting for Godot,Plays
383,9,5527,Suzanne Vega,Pop
384,9,5752,Britney Spears,Pop
385,9,6030,America,Pop
386,9,6868,The Raconteurs,Pop
387,9,8582,Sugarland,Pop
388,6,874,Flower Drum Song,Musicals
389,6,1330,Memphis - The Birth of Rock n Roll,Musicals
390,7,2094,Rock 'n' Roll,Plays
391,7,2285,Electra,Plays
392,7,2495,Glengarry Glen Ross,Plays
393,7,2994,The Country Girl,Plays
394,9,4100,Randy Owen,Pop
395,9,4627,Jim Brickman,Pop
396,9,5219,Steely Dan,Pop
397,9,5607,Zucchero,Pop
398,9,6189,Live,Pop
399,9,6627,Josh Turner,Pop
400,9,6772,Cypress Hill,Pop
401,9,7096,Dennis DeYoung,Pop
402,9,7990,Al Green,Pop
403,9,8040,Vans Warped Tour,Pop
404,8,25,La Cenerentola (Cinderella),Opera
405,6,1530,Blue Man Group,Musicals
406,7,2046,Our Town,Plays
407,7,2512,The Homecoming,Plays
408,7,2699,Waiting for Godot,Plays
409,7,2821,Cirque du Soleil,Plays
410,7,3544,A Man For All Seasons,Plays
411,9,4910,Kanye West,Pop
412,9,5068,George Michael,Pop
413,9,6782,Alicia Keys,Pop
414,9,7941,The Guess Who,Pop
415,9,8292,Marc Anthony,Pop
416,6,576,West Side Story,Musicals
417,6,1071,Mary Poppins,Musicals
418,6,1446,Oliver!,Musicals
419,9,4423,Melissa Etheridge,Pop
420,9,4562,Blues Brothers,Pop
421,9,4888,Monsters of Rock,Pop
422,9,5901,Armando Manzanero,Pop
423,9,6286,Ben Folds,Pop
424,9,6368,Duran Duran,Pop
425,9,7380,Donna Summer,Pop
426,9,8333,Sammy Hagar,Pop
427,9,8686,Rancid,Pop
428,6,1060,Chicago,Musicals
429,7,1924,The Tempest,Plays
430,9,4183,Iggy and the Stooges,Pop
431,9,4811,Sigur Ros,Pop
432,9,4953,Sarah Brightman,Pop
433,9,5543,Patty Griffin,Pop
434,9,5596,Tokyo Police Club,Pop
435,9,5774,Billy Idol,Pop
436,9,5787,Tom Jones,Pop
437,9,5793,Sugarland,Pop
438,9,5813,The Kooks,Pop
439,9,6763,Jesse McCartney,Pop
440,9,7057,Manhattan Transfer,Pop
441,9,7205,Insane Clown Posse,Pop
442,6,1236,Mamma Mia!,Musicals
443,6,1429,Jersey Boys,Musicals
444,7,1979,Cirque du Soleil,Plays
445,7,2347,The 39 Steps,Plays
446,7,2400,Romeo and Juliet,Plays
447,7,2609,The Country Girl,Plays
448,7,3025,The Seafarer,Plays
449,9,5011,.38 Special,Pop
450,9,5016,Nashville Star,Pop
451,9,6025,Sweet Honey in the Rock,Pop
452,8,398,The Birds (Die Vogel),Opera
453,8,400,Thais,Opera
454,6,1162,High School Musical,Musicals
455,7,2726,Look Back in Anger,Plays
456,7,3718,Waiting for Godot,Plays
457,9,4029,Sweet Honey in the Rock,Pop
458,9,4159,Jimmy Eat World,Pop
459,9,4341,Ana Gabriel,Pop
460,9,5110,Nofx,Pop
461,9,5696,Cowboy Junkies,Pop
462,9,6605,David Sanborn,Pop
463,9,7304,The Raconteurs,Pop
464,9,7398,Steely Dan,Pop
465,7,2012,Rhinoceros,Plays
466,7,3594,Passing Strange,Plays
467,9,3925,Donny Osmond,Pop
468,9,3974,Coldplay,Pop
469,9,4763,Rick Springfield,Pop
470,9,8255,Colbie Caillat,Pop
471,9,8524,Mogwai,Pop
472,6,777,Oliver!,Musicals
473,6,926,Gypsy,Musicals
474,7,3546,The Glass Menagerie,Plays
475,7,3762,The Glass Menagerie,Plays
476,7,3783,Macbeth,Plays
477,9,3888,Allman Brothers Band,Pop
478,9,4901,ZZ Top,Pop
479,9,4903,The Raconteurs,Pop
480,9,5067,Dolly Parton,Pop
481,9,8021,Black Crowes,Pop
482,9,8075,Eagles,Pop
483,6,1628,O - Cirque du Soleil,Musicals
484,6,1786,Beatles LOVE,Musicals
485,7,2273,The Tempest,Plays
486,7,3291,A Man For All Seasons,Plays
487,9,4107,Loretta Lynn,Pop
488,9,4490,Oliver Dragojevic,Pop
489,9,4787,American Idols Live,Pop
490,9,5657,Coheed and Cambria,Pop
491,9,6594,Cake,Pop
492,9,6631,Burt Bacharach,Pop
493,9,6742,Teddy Geiger,Pop
494,9,7116,Smash Mouth,Pop
495,9,7207,Ani DiFranco,Pop
496,9,8701,Danny Nova,Pop
497,8,73,L Elisir d Amore,Opera
498,8,95,The Queen of Spades,Opera
499,8,383,The Magic Flute,Opera
500,7,1815,Young Frankenstein,Plays
501,7,3535,Rock 'n' Roll,Plays
502,7,3580,A Midsummer Night's Dream,Plays
503,9,4354,Gordon Lightfoot,Pop
504,9,4617,ZZ Top,Pop
505,9,4754,Cute Is What We Aim For,Pop
506,9,5379,.38 Special,Pop
507,9,6884,Foo Fighters,Pop
508,9,7285,Los Temerarios,Pop
509,9,7445,Judas Priest,Pop
510,9,7595,The Police,Pop
511,9,8490,Eddie Money,Pop
512,8,101,Die Walkure,Opera
513,6,636,The Lion King,Musicals
514,6,783,Seven Brides for Seven Brothers,Musicals
515,6,1272,Dirty Dancing,Musicals
516,7,3188,The Bacchae,Plays
517,7,3538,November,Plays
518,7,3713,A Doll's House,Plays
519,9,3993,G. Love and Special Sauce,Pop
520,9,4732,Monsters of Rock,Pop
521,9,5757,Wynonna,Pop
522,9,6849,Jill Scott,Pop
523,9,7427,The Black Keys,Pop
524,9,8580,Bon Jovi,Pop
525,8,76,Il Trovatore,Opera
526,8,351,Tristan und Isolde,Opera
527,6,730,Grease,Musicals
528,6,853,High School Musical,Musicals
529,6,1612,Folies Bergere,Musicals
530,7,2092,The Seagull,Plays
531,7,2260,Wicked,Plays
532,7,2709,Rhinoceros,Plays
533,7,3759,The Tempest,Plays
534,9,4632,Tesla,Pop
535,9,4734,Fergie,Pop
536,9,5544,Joanna Newsom,Pop
537,9,5676,Celtic Thunder,Pop
538,9,5876,Ben Folds,Pop
539,9,6904,Celtic Thunder,Pop
540,9,7784,Lucinda Williams,Pop
541,9,8673,Kansas,Pop
542,6,683,Memphis - The Birth of Rock n Roll,Musicals
543,7,2465,Electra,Plays
544,7,3195,The Caucasian Chalk Circle,Plays
545,9,4358,Weird Al Yankovic,Pop
546,9,4599,Marco Antonio Solis,Pop
547,9,4791,The Roots,Pop
548,9,5747,Frankie Valli,Pop
549,9,5811,Merle Haggard,Pop
550,9,6515,Kenny Wayne Shepherd,Pop
551,9,6752,Tom Petty and the Heartbreakers,Pop
552,9,6847,Bobby Brown,Pop
553,9,7024,Brooks and Dunn,Pop
554,9,8298,Dandy Warhols,Pop
555,8,308,Eugene Onegin,Opera
556,6,761,Billy Elliot the Musical,Musicals
557,6,803,Hairspray,Musicals
558,7,3117,The Seagull,Plays
559,7,3294,The Homecoming,Plays
560,7,3781,Iphigenia,Plays
561,9,5431,Mars Volta,Pop
562,9,5463,Peter Frampton,Pop
563,9,6334,Alice Cooper,Pop
564,9,6508,The Swell Season,Pop
565,9,6696,Ani DiFranco,Pop
566,9,7142,Linkin Park,Pop
567,8,363,Salome,Opera
568,6,707,The Little Mermaid,Musicals
569,6,811,West Side Story,Musicals
570,6,1057,Curtains,Musicals
571,7,2037,The Country Girl,Plays
572,7,2481,November,Plays
573,7,3061,A Tale of Two Cities,Plays
574,7,3180,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,Plays
575,7,3466,The Farnsworth Invention,Plays
576,7,3557,The Caretaker,Plays
577,9,3890,Matchbox Twenty,Pop
578,9,4475,Emmylou Harris,Pop
579,9,4849,Jason Mraz,Pop
580,9,5814,Regina Spektor,Pop
581,9,6131,Rusted Root,Pop
582,9,6807,Los Lonely Boys,Pop
583,9,8186,Wisin y Yandel,Pop
584,9,8703,Bon Jovi,Pop
585,8,115,La Gioconda,Opera
586,8,146,Die Walkure,Opera
587,6,801,West Side Story,Musicals
588,6,1106,Mary Poppins,Musicals
589,6,1375,The Lion King,Musicals
590,7,1850,Rosencrantz and Guildenstern Are Dead,Plays
591,7,2160,Woyzeck,Plays
592,9,4436,George Thorogood,Pop
593,9,4716,B.B. King,Pop
594,9,5315,Matisyahu,Pop
595,9,5355,Lindsey Buckingham,Pop
596,9,5883,Erykah Badu,Pop
597,9,7143,Stray Cats,Pop
598,9,7517,Lyle Lovett,Pop
599,9,7626,Isaac Hayes,Pop
600,9,8762,Oasis,Pop
601,9,4231,Chromeo,Pop
602,9,4598,Flogging Molly,Pop
603,9,5554,Kool and The Gang,Pop
604,9,6657,Great Big Sea,Pop
605,9,7373,Air Supply,Pop
606,9,7543,George Thorogood,Pop
607,9,8650,Tokio Hotel,Pop
608,9,8662,Brian Jonestown Massacre,Pop
609,8,274,Siegfried,Opera
610,6,597,A Chorus Line,Musicals
611,6,770,Kiss Me Kate,Musicals
612,6,834,Jersey Boys,Musicals
613,6,1309,The King and I,Musicals
614,7,2060,Wicked,Plays
615,7,2436,Rosencrantz and Guildenstern Are Dead,Plays
616,7,3163,Our Town,Plays
617,7,3176,Julius Caesar,Plays
618,9,4211,Rock To Win At the DNC,Pop
619,9,4830,Maze,Pop
620,9,7399,Widespread Panic,Pop
621,6,757,Dirty Dancing,Musicals
622,6,1201,High Society,Musicals
623,6,1338,Shrek the Musical,Musicals
624,7,2121,Glengarry Glen Ross,Plays
625,7,2725,Julius Caesar,Plays
626,7,3698,Rosencrantz and Guildenstern Are Dead,Plays
627,9,4499,Irish Tenors,Pop
628,9,4695,The Roots,Pop
629,9,5111,Sara Evans,Pop
630,9,5854,Dierks Bentley,Pop
631,9,6364,David Sanborn,Pop
632,9,6448,G. Love and Special Sauce,Pop
633,9,8458,Aretha Franklin,Pop
634,8,397,L Elisir d Amore,Opera
635,7,1987,The Country Girl,Plays
636,7,2026,Our Town,Plays
637,7,2171,Oedipus the King,Plays
