,sellerid,eventid,salesid,buyerid,dateid,qtysold,pricepaid,commission,numtickets,priceperticket
0,381,8343,257,22881,1917,2,358.0,53.7,20,179.0
1,38639,6301,524,1804,1917,2,488.0,73.2,8,244.0
2,11062,4413,697,35170,1917,2,462.0,69.3,30,231.0
3,20029,1093,1334,14070,1917,3,399.0,59.85,28,133.0
4,38,4999,2441,34014,1917,2,418.0,62.7,26,209.0
5,10769,4721,3182,23863,1917,1,244.0,36.6,18,244.0
6,34549,3017,3189,21301,1917,2,254.0,38.1,18,127.0
7,22878,5192,3926,1552,1917,2,302.0,45.3,18,151.0
8,40363,6574,5047,16220,1917,4,644.0,96.6,26,161.0
9,16711,2132,5072,90,1917,2,448.0,67.2,24,224.0
10,42734,3473,5349,12809,1917,1,238.0,35.7,18,238.0
11,40817,1638,6061,25464,1917,4,300.0,45.0,8,75.0
12,6813,3250,6285,12774,1917,2,250.0,37.5,16,125.0
13,1053,7895,6733,19540,1917,1,134.0,20.1,30,134.0
14,23005,5391,7642,4942,1917,1,101.0,15.15,14,101.0
15,30592,2891,8303,21234,1917,1,125.0,18.75,26,125.0
16,26437,3516,8454,9995,1917,1,248.0,37.2,20,248.0
17,25090,6330,9413,7547,1917,2,62.0,9.3,3,31.0
18,30118,2898,11272,39641,1917,2,442.0,66.3,30,221.0
19,23922,3646,12351,8955,1917,1,35.0,5.25,4,35.0
20,33037,6371,12700,4495,1917,1,216.0,32.4,24,216.0
21,188,5890,12751,11021,1917,4,348.0,52.2,28,87.0
22,8575,4042,13538,34075,1917,2,376.0,56.4,7,188.0
23,20854,1094,13740,27961,1917,1,102.0,15.3,30,102.0
24,35830,3207,13755,18944,1917,1,182.0,27.3,28,182.0
25,49929,6643,14473,23204,1917,2,116.0,17.4,20,58.0
26,48507,5353,17039,26762,1917,1,89.0,13.35,12,89.0
27,48433,5740,17775,27194,1917,3,717.0,107.55,16,239.0
28,11414,8654,18210,4240,1917,2,164.0,24.6,24,82.0
29,30372,1577,19248,17271,1917,1,115.0,17.25,20,115.0
30,43064,6455,20396,22006,1917,1,183.0,27.45,20,183.0
31,35112,1435,20655,6829,1917,2,166.0,24.9,3,83.0
32,45336,7796,21484,32216,1917,1,165.0,24.75,12,165.0
33,49586,2075,21516,16041,1917,4,376.0,56.4,22,94.0
34,14605,5855,22285,13853,1917,4,976.0,146.4,28,244.0
35,10259,8731,22538,27350,1917,1,202.0,30.3,7,202.0
36,31013,5226,24326,8933,1917,4,920.0,138.0,9,230.0
37,28074,6859,25186,28199,1917,1,81.0,12.15,14,81.0
38,22155,4619,25851,787,1917,1,108.0,16.2,20,108.0
39,49537,4700,26176,7109,1917,1,176.0,26.4,26,176.0
40,34117,4740,27900,41751,1917,4,588.0,88.2,26,147.0
41,26244,6810,28395,3048,1917,1,135.0,20.25,12,135.0
42,49023,8763,28488,20490,1917,1,237.0,35.55,16,237.0
43,14447,7519,28791,9088,1917,4,340.0,51.0,18,85.0
44,39467,5500,28802,22318,1917,2,400.0,60.0,20,200.0
45,41151,3706,29188,22766,1917,1,194.0,29.1,9,194.0
46,39904,7740,29345,38454,1917,1,26.0,3.9,9,26.0
47,26492,6553,29814,9867,1917,1,40.0,6.0,18,40.0
48,23575,1848,30674,177,1917,3,747.0,112.05,22,249.0
49,21530,8365,30929,34201,1917,1,296.0,44.4,24,296.0
50,22064,5234,31312,3950,1917,1,215.0,32.25,22,215.0
51,3970,7294,31534,12028,1917,2,422.0,63.3,12,211.0
52,1939,7652,31821,22202,1917,2,670.0,100.5,12,335.0
53,23501,2155,32271,27328,1917,4,108.0,16.2,20,27.0
54,7351,4462,34745,2045,1917,3,1026.0,153.9,12,342.0
55,33071,2949,35723,14160,1917,3,507.0,76.05,12,169.0
56,10682,8691,36447,42310,1917,1,120.0,18.0,9,120.0
57,38455,3771,37344,16330,1917,4,488.0,73.2,22,122.0
58,2982,4536,39018,35183,1917,2,478.0,71.7,7,239.0
59,44504,1181,39294,23603,1917,2,330.0,49.5,14,165.0
60,3099,2891,40575,21599,1917,1,217.0,32.55,20,217.0
61,8502,1866,41014,10688,1917,1,198.0,29.7,22,198.0
62,20132,6504,41595,4423,1917,2,572.0,85.8,3,286.0
63,29803,364,44564,6848,1917,1,170.0,25.5,3,170.0
64,38820,2987,44751,24797,1917,4,1292.0,193.8,8,323.0
65,4633,5234,44861,19070,1917,2,400.0,60.0,10,200.0
66,44536,7356,45342,7334,1917,1,166.0,24.9,20,166.0
67,38414,2134,46218,15215,1917,3,534.0,80.1,14,178.0
68,28925,358,46224,24482,1917,1,63.0,9.45,7,63.0
69,22034,5161,47350,30100,1917,4,1136.0,170.4,7,284.0
70,20268,4969,47891,14492,1917,2,694.0,104.1,2,347.0
71,9955,5234,48185,24302,1917,4,1152.0,172.8,24,288.0
72,47946,4798,48560,24544,1917,1,88.0,13.2,16,88.0
73,1025,1169,49062,5996,1917,4,176.0,26.4,9,44.0
74,20673,2271,50344,15083,1917,1,127.0,19.05,5,127.0
75,10170,4987,50349,44801,1917,2,462.0,69.3,7,231.0
76,48717,2310,51124,7250,1917,2,58.0,8.7,5,29.0
77,36130,4952,51589,3297,1917,2,392.0,58.8,3,196.0
78,30110,1638,51808,25885,1917,1,54.0,8.1,24,54.0
79,8482,8418,51893,12790,1917,1,206.0,30.9,8,206.0
80,5308,7181,52023,4634,1917,2,488.0,73.2,12,244.0
81,16887,2399,52522,16098,1917,3,123.0,18.45,18,41.0
82,11858,3482,53463,8944,1917,2,914.0,137.1,9,457.0
83,5929,906,54848,23515,1917,2,668.0,100.2,14,334.0
84,46592,1600,54921,16207,1917,2,296.0,44.4,9,148.0
